id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
105032880,2022/01/14 1:14 PM AWST,2022-01-14,2022-01-14 05:14:00 UTC,Perth,1087475,jmartincrossley,Martin,2022-01-16 14:04:53 UTC,2022-01-20 05:42:45 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/105032880,https://inaturalist-open-data.s3.amazonaws.com/photos/176133182/medium.jpeg,,"",,3,0,false,,"Western Australia, AU",-34.3996795807,119.2130968253,16009,"Bremer Bay WA 6338, Australia",-34.3979041,119.3763011,28846,,obscured,true,,,,,Western Australia,Australia,Western Australia,Jerramungup,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
105034252,2022/01/13 11:43 AM AWST,2022-01-13,2022-01-13 03:43:00 UTC,Perth,1087475,jmartincrossley,Martin,2022-01-16 14:42:16 UTC,2022-03-17 05:02:21 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/105034252,https://inaturalist-open-data.s3.amazonaws.com/photos/176136328/medium.jpeg,,"",brooding,4,0,false,,"Western Australia, AU",-34.3695781683,119.275562372,16009,"Bremer Bay WA 6338, Australia",-34.3979041,119.3763011,28846,,obscured,true,,,,,Western Australia,Australia,Western Australia,Jerramungup,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
105034254,2022/01/13 12:37 PM AWST,2022-01-13,2022-01-13 04:37:00 UTC,Perth,1087475,jmartincrossley,Martin,2022-01-16 14:42:17 UTC,2022-01-20 05:42:49 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/105034254,https://inaturalist-open-data.s3.amazonaws.com/photos/176136340/medium.jpeg,,"",,3,0,false,,"Western Australia, AU",-34.3247315444,119.2344087308,16009,"Bremer Bay WA 6338, Australia",-34.3979041,119.3763011,28846,,obscured,true,,,,,Western Australia,Australia,Western Australia,Jerramungup,Leafy Seadragon,Phycodurus eques,Leafy Seadragon,Actinopterygii,49105
